INDEX,,,5. EMPLOYMENT: Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Tourism Satellite Account (TSA) data.,,,,,,,,,,,
40,5.1,40-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,206.4,206.4,207.7,..,214.6,245.2,243.3,252.9,254.0,262.0,270.5,..,..,..,..,199.6,205.9,128.6,107.8,..,,,,,,,,,,,,
40,5.2,40-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,57.9,58.4,59.1,..,60.5,61.2,56.6,58.7,58.4,61.6,63.8,..,..,..,..,130.6,134.7,94.8,79.6,..,,,,,,,,,,,,
40,5.3,40-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
40,5.4,40-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,71.8,74.1,76.7,..,79.6,88.7,82.9,87.1,88.3,95.3,99.1,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
40,5.5,40-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,38.4,35.0,29.0,..,31.6,47.1,53.8,52.8,54.7,53.4,54.1,..,..,..,..,34.6,35.8,11.7,9.0,..,,,,,,,,,,,,
40,5.6,40-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,26.2,26.5,29.4,..,29.9,30.3,30.5,30.2,30.6,31.6,32.8,..,..,..,..,11.5,11.9,9.9,8.1,..,,,,,,,,,,,,
40,5.7,40-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,12.1,12.4,13.5,..,13.0,17.9,19.5,24.1,22.0,20.1,20.7,..,..,..,..,22.9,23.5,12.2,11.1,..,,,,,,,,,,,,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5.1,31-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,4.7,5.1,5.9,6.8,7.3,36.8,37.6,38.9,40.8,41.8,49.4,43.5,46.8,53.6,59.5,49.0,53.7,63.1,,,,,,,,,,,,
31,5.2,31-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,4.1,4.3,4.7,5.6,5.9,6.0,6.2,7.3,8.3,9.0,8.4,9.8,10.0,11.4,12.5,10.7,11.1,12.3,,,,,,,,,,,,
31,5.3,31-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
31,5.4,31-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
31,5.5,31-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
31,5.6,31-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,0.6,0.8,1.1,1.2,1.4,1.4,1.5,1.7,1.7,1.8,1.6,1.8,1.9,2.1,2.2,1.5,1.0,1.3,,,,,,,,,,,,
