INDEX,,,3. OUTBOUND TOURISM: Tourism expenditure in other countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
112,3.4,112-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,101,142,122,138,133,247,486,527,436,500,516,675,724,860,752,748,729,948,"1,333","1,308",997,891,"1,082","1,170","1,225",511,644,..,
112,3.5,112-3.5,,,Travel,,,US$ Millions,,IMF,87,119,114,124,116,216,454,493,399,450,448,586,606,716,639,622,588,789,"1,153","1,159",901,800,983,"1,069","1,123",469,562,..,
112,3.6,112-3.6,,,Passenger transport,,,US$ Millions,,IMF,14,23,8,14,17,31,32,34,37,50,68,89,118,144,113,126,141,159,180,149,96,91,99,101,102,42,82,..,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3.4,56-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,"10,878","11,270","13,402","15,456","16,771","17,891","19,211",..,"20,813","20,884","22,836","22,357","24,507","26,444","15,856","16,522","17,835","20,789","20,924","13,881","15,522","17,705",1/ 1995-2000: country data.
56,3.5,56-3.5,,,Travel,,,US$ Millions,1/,IMF,"8,115","8,591","7,895","8,311","9,775","9,429","9,776","10,185","12,210","13,956","14,948","15,574","17,502","19,523","19,001","18,862","20,672","20,166","22,157","23,820","13,654","14,439","15,600","18,442","18,667","12,965","14,624","16,208",
56,3.6,56-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,"1,102","1,085","1,192","1,500","1,823","2,317","1,709",..,"1,812","2,022","2,164","2,191","2,350","2,624","2,202","2,083","2,235","2,347","2,257",916,898,"1,498",
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3.4,84-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,33,38,30,33,39,44,45,48,50,47,45,43,46,44,43,39,37,39,42,51,50,55,53,50,45,22,40,62,
84,3.5,84-3.5,,,Travel,,,US$ Millions,,IMF,21,26,18,21,36,40,42,44,46,43,42,41,43,41,41,36,34,37,40,49,47,53,51,48,43,21,38,60,
