INDEX,,,2. DOMESTIC TOURISM: Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
48,2.22,48-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103,91,145,171,..,..,..,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.19,50-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,2.20,50-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.21,50-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,2.22,50-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.19,52-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,2.20,52-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.21,52-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,2.22,52-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2.19,112-2.19,,,,Guests,,Thousands,,..,..,..,..,"1,428","1,717","1,742","1,505","1,646","1,686","1,702","1,722","1,751","1,734","1,636","1,666","1,768","1,898","1,907","2,332","2,226","2,292","2,442","2,629","2,717","2,215","2,894","2,888",
112,2.20,112-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"10,067","10,383","10,602","11,612","11,146","10,946","11,350","12,477","11,910","10,562","12,746","12,786",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2.21,112-2.21,,,,Guests,,Thousands,,..,..,..,"1,070","1,194","1,187","1,109",862,989,"1,030","1,084","1,171","1,184","1,174","1,098","1,127","1,144","1,097","1,065",998,918,885,888,970,965,751,"1,073","1,101",
112,2.22,112-2.22,,,,Overnights,,Thousands,,..,..,..,"2,976","3,322","3,375","3,151","2,483","2,749","2,926","3,306","3,649","3,739","3,624","3,275","3,172","3,071","2,902","2,906","2,707","2,291","2,090","2,016","2,140","2,182","1,891","2,386","2,379",
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Due to a change in the methodology, from 2015 the data are not comparable with those of previous years.
2/ Hotels only."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.19,56-2.19,,,,Guests,,Thousands,1/,"3,285","3,873","3,945","3,900","4,047","4,267","4,355","4,333","4,382","4,448","4,572","4,806","5,068","5,265","5,431","5,802","6,124","6,313","6,468","6,754","7,492","7,729","7,934","8,441","8,714","4,792","7,729","9,406",
