INDEX,,,1. INBOUND TOURISM: Tourism expenditure in the country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1.33,64-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,IMF,5,6,6,8,9,10,9,8,8,13,19,36,47,47,51,64,76,93,116,99,120,139,153,121,120,84,4,0.2,1/ 1995-2005: country data.
64,1.34,64-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,23,28,37,42,40,47,61,83,84,94,92,105,103,120,84,4,0.2,
64,1.35,64-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,13,19,10,9,24,29,32,33,15,26,47,48,18,..,..,..,..,
68,0,68-0,"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.33,68-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,92,100,129,137,124,101,119,143,243,283,345,330,326,302,306,339,499,631,639,746,810,827,928,948,977,240,269,706,
68,1.34,68-1.34,,,Travel,,,US$ Millions,,IMF,55,61,64,69,87,68,76,100,166,192,239,244,292,275,279,310,380,594,574,664,699,713,803,815,837,189,190,530,
68,1.35,68-1.35,,,Passenger transport,,,US$ Millions,,IMF,37,39,65,68,37,33,43,43,77,91,106,86,34,27,27,29,119,37,65,82,111,114,125,133,140,51,79,176,
534,0,534-0,BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,1.33,534-1.33,,Tourism expenditure in the country,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source: Central Bank of the Netherlands Antilles.
534,1.34,534-1.34,,,Travel,,,US$ Millions,1/,CB,37,42,44,43,45,59,64,65,84,87,87,91,110,121,107,..,..,..,..,..,..,..,..,..,..,..,..,..,
