INDEX,,,2. DOMESTIC TOURISM: Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
204,2.3,204-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.1,60-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
60,2.2,60-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
60,2.3,60-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2.1,64-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,051",..,..,..,
64,2.2,64-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,765,..,..,..,
64,2.3,64-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,286,..,..,..,
68,0,68-0,"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2.1,68-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
68,2.2,68-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
68,2.3,68-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
534,0,534-0,BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,2.1,534-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
534,2.2,534-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
534,2.3,534-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
70,0,70-0,BOSNIA AND HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2.1,70-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
70,2.2,70-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
70,2.3,70-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
72,0,72-0,BOTSWANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2.1,72-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,781",..,..,..,..,..,"4,770",..,..,..,..,..,..,
72,2.2,72-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,166",..,..,..,..,..,"3,120",..,..,..,..,..,..,
